Cell_ID,cell_name,Patient_Old,Patient,TSSEnrichment,ReadsInTSS,ReadsInPromoter,ReadsInBlacklist,PromoterRatio,PassQC,NucleosomeRatio,nMultiFrags,nMonoFrags,nFrags,nDiFrags,BlacklistRatio,Location,ReadsInPeaks,FRIP,Clusters_type
COAD13-nofacs#COAD13_T_C_3_195,COAD13_T_C_3_195,COAD13-nofacs,P09,14.449,34981,36447,6696,0.2327038,1,1.888249613,0,27114,78312,51198,0.042752069,Normal,74002,0.47341283,B
COAD13-nofacs#COAD13_C_D_89_377,COAD13_C_D_89_377,COAD13-nofacs,P09,12.96,26931,28191,4068,0.180272413,1,2.932307383,0,19884,78190,58306,0.026013557,Cancer,63279,0.40537476,T
COAD13-nofacs#COAD13_T_B_77_173,COAD13_T_B_77_173,COAD13-nofacs,P09,13.826,37626,37417,3424,0.239367691,1,1.931108194,0,26665,78158,51493,0.021904348,Normal,83878,0.537527877,B
COAD13-nofacs#COAD13_C_B_69_165,COAD13_C_B_69_165,COAD13-nofacs,P09,9.442,13351,16745,4105,0.107324608,1,4.112123198,0,15260,78011,62751,0.026310392,Cancer,47068,0.302676424,Epithelial
COAD13-nofacs#COAD13_T_A1_85_85,COAD13_T_A1_85_85,COAD13-nofacs,P09,12.005,27432,29594,2892,0.189782988,1,2.293958597,0,23670,77968,54298,0.01854607,Normal,72515,0.466268438,B
COAD13-nofacs#COAD13_C_D_35_323,COAD13_C_D_35_323,COAD13-nofacs,P09,11.301,18570,20803,3804,0.133503183,1,3.028750194,0,19339,77912,58573,0.024412157,Cancer,60861,0.391514957,Epithelial
COAD13-nofacs#COAD13_T_C_40_232,COAD13_T_C_40_232,COAD13-nofacs,P09,14.721,34569,35263,4104,0.226410612,1,1.923198198,0,26640,77874,51234,0.026350258,Normal,80192,0.515949712,B
COAD13-nofacs#COAD13_T_C_75_267,COAD13_T_C_75_267,COAD13-nofacs,P09,15.223,37224,37513,3372,0.240983901,1,1.773608438,0,28062,77833,49771,0.021661763,Normal,82608,0.531788335,B
COAD13-nofacs#COAD13_T_A1_68_68,COAD13_T_A1_68_68,COAD13-nofacs,P09,13.864,33600,34459,3347,0.221863813,1,1.791645697,0,27818,77658,49840,0.021549615,Normal,79019,0.509839471,B
COAD13-nofacs#COAD13_T_B_32_128,COAD13_T_B_32_128,COAD13-nofacs,P09,13.855,33605,35280,4316,0.227155661,1,1.839238053,0,27351,77656,50305,0.027789224,Normal,76305,0.492080791,B
COAD13-nofacs#COAD13_C_B_91_187,COAD13_C_B_91_187,COAD13-nofacs,P09,11.92,27619,29957,3818,0.193084112,1,3.123916857,0,18811,77575,58764,0.024608443,Cancer,72473,0.468093214,B
COAD13-nofacs#COAD13_C_C_56_248,COAD13_C_C_56_248,COAD13-nofacs,P09,6.701,8822,11018,3669,0.07108754,1,4.598208481,0,13843,77496,63653,0.02367219,Cancer,41943,0.271380877,Epithelial
COAD13-nofacs#COAD13_T_D_86_374,COAD13_T_D_86_374,COAD13-nofacs,P09,15.194,37445,38890,4328,0.251100866,1,1.75573823,0,28101,77439,49338,0.027944576,Normal,84581,0.547152357,B
