Cell_ID,cell_name,Patient_Old,Patient,TSSEnrichment,ReadsInTSS,ReadsInPromoter,ReadsInBlacklist,PromoterRatio,PassQC,NucleosomeRatio,nMultiFrags,nMonoFrags,nFrags,nDiFrags,BlacklistRatio,Location,ReadsInPeaks,FRIP,Clusters_type
COAD15#COAD15_C2_CB_34_226,COAD15_C2_CB_34_226,COAD15,P10,5.31,87634,129644,22020,0.075786131,1,5.211893211,0,137692,855328,717636,0.012872255,Cancer,574653,0.335987189,Epithelial
COAD15#COAD15_C2_BC_72_168,COAD15_C2_BC_72_168,COAD15,P10,5.718,83025,111576,27494,0.067140199,1,3.61515988,0,180041,830918,650877,0.016544352,Cancer,441343,0.265611346,Epithelial
COAD15#COAD15_C2_D_91_379,COAD15_C2_D_91_379,COAD15,P10,6.377,90642,118307,24758,0.073423505,1,5.343784941,0,126998,805648,678650,0.015365271,Cancer,425144,0.263898717,Epithelial
COAD15#COAD15_C2_BC_18_114,COAD15_C2_BC_18_114,COAD15,P10,6.392,83169,110387,23084,0.072691892,1,5.622359447,0,114654,759280,644626,0.015201243,Cancer,441300,0.290683888,Epithelial
COAD15#COAD15_C2_BC_59_155,COAD15_C2_BC_59_155,COAD15,P10,5.014,68914,101315,23723,0.066824392,1,6.522167537,0,100778,758069,657291,0.015646993,Cancer,408616,0.269571539,Epithelial
COAD15#COAD15_C2_D_78_366,COAD15_C2_D_78_366,COAD15,P10,6.991,109005,144121,20956,0.097798,1,5.024233307,0,122311,736830,614519,0.014220376,Cancer,527586,0.358066552,Epithelial
COAD15#COAD15_C2_D_28_316,COAD15_C2_D_28_316,COAD15,P10,5.643,73152,100495,19723,0.070434332,1,5.680604199,0,106786,713395,606609,0.013823338,Cancer,393308,0.275716934,Epithelial
COAD15#COAD15_C2_BC_28_124,COAD15_C2_BC_28_124,COAD15,P10,5.416,69091,96315,23077,0.067549465,1,5.662386573,0,107007,712922,605915,0.0161848,Cancer,381254,0.267544789,Epithelial
COAD15#COAD15_C1_A_59_59,COAD15_C1_A_59_59,COAD15,P10,5.634,99323,139999,21115,0.098667556,1,6.56688034,0,93757,709448,615691,0.014881288,Cancer,464353,0.327311111,Epithelial
COAD15#COAD15_C2_CB_55_247,COAD15_C2_CB_55_247,COAD15,P10,6.049,76512,104711,21250,0.074049794,1,5.643030292,0,106432,707031,600599,0.01502763,Cancer,426668,0.301778697,Epithelial
COAD15#COAD15_C2_BC_60_156,COAD15_C2_BC_60_156,COAD15,P10,5.375,47914,65807,23121,0.047058108,1,8.279741997,0,75348,699210,623862,0.016533659,Cancer,301897,0.215926972,Epithelial
COAD15#COAD15_C1_D_49_337,COAD15_C1_D_49_337,COAD15,P10,5.592,72876,99873,21847,0.072090586,1,7.118455751,0,85323,692691,607368,0.015769658,Cancer,371887,0.268472476,Epithelial
COAD15#COAD15_C1_BC_96_192,COAD15_C1_BC_96_192,COAD15,P10,5.802,77344,107391,22476,0.079725821,1,5.326219684,0,106462,673502,567040,0.016685919,Cancer,412068,0.306006692,Epithelial
COAD15#COAD15_C1_D_93_381,COAD15_C1_D_93_381,COAD15,P10,5.142,69963,99799,16823,0.074967173,1,4.846857926,0,113842,665618,551776,0.012637128,Cancer,436646,0.328035928,Epithelial
COAD15#COAD15_C2_D_76_364,COAD15_C2_D_76_364,COAD15,P10,6.267,89432,125836,14958,0.095200196,1,3.876713744,0,135522,660902,525380,0.011316353,Cancer,457201,0.34596182,Epithelial
COAD15#COAD15_C2_BC_58_154,COAD15_C2_BC_58_154,COAD15,P10,6.205,101163,137681,15619,0.106794196,1,3.59162464,0,140388,644609,504221,0.012115096,Cancer,489001,0.379344612,Epithelial
COAD15#COAD15_C2_BC_74_170,COAD15_C2_BC_74_170,COAD15,P10,6.767,69295,91443,20069,0.071148469,1,5.767922402,0,94951,642621,547670,0.015614958,Cancer,363699,0.283042171,Epithelial
COAD15#COAD15_C1_A_10_10,COAD15_C1_A_10_10,COAD15,P10,5.215,35108,52062,36659,0.042746299,1,8.65522982,0,63071,608965,545894,0.030099431,Cancer,262862,0.215879675,Epithelial
COAD15#COAD15_C2_BC_40_136,COAD15_C2_BC_40_136,COAD15,P10,6.343,62659,82958,18673,0.07095995,1,4.709356045,0,102383,584541,482158,0.015972361,Cancer,331209,0.283416479,Epithelial
COAD15#COAD15_C2_BC_73_169,COAD15_C2_BC_73_169,COAD15,P10,5.919,58194,82755,22492,0.07088927,1,5.872867286,0,84927,583692,498765,0.019267011,Cancer,288263,0.246983637,Epithelial
COAD15#COAD15_C2_CB_50_242,COAD15_C2_CB_50_242,COAD15,P10,6.869,77858,101541,15496,0.08733072,1,5.073156718,0,95726,581359,485633,0.013327393,Cancer,366600,0.315337478,Epithelial
COAD15#COAD15_C2_D_82_370,COAD15_C2_D_82_370,COAD15,P10,5.086,42503,62143,18596,0.053543949,1,6.179341573,0,80829,580299,499470,0.016022774,Cancer,262673,0.226370037,Epithelial
COAD15#COAD15_C2_D_57_345,COAD15_C2_D_57_345,COAD15,P10,5.653,67859,100005,16730,0.086811403,1,4.151276662,0,111815,575990,464175,0.014522822,Cancer,391113,0.339577379,Epithelial
COAD15#COAD15_C2_BC_71_167,COAD15_C2_BC_71_167,COAD15,P10,5.586,73032,99622,18498,0.086733113,1,4.923998143,0,96945,574302,477357,0.016104767,Cancer,334867,0.291635532,Epithelial
COAD15#COAD15_C2_BC_42_138,COAD15_C2_BC_42_138,COAD15,P10,6.043,64082,89388,17805,0.078043039,1,4.894600325,0,97154,572684,475530,0.015545222,Cancer,355468,0.310417158,Epithelial
COAD15#COAD15_C2_D_65_353,COAD15_C2_D_65_353,COAD15,P10,7.162,74829,98600,22481,0.086996111,1,4.692422051,0,99552,566692,467140,0.01983529,Cancer,360710,0.318407073,Epithelial
COAD15#COAD15_C2_BC_67_163,COAD15_C2_BC_67_163,COAD15,P10,7.38,84349,108309,14275,0.096628887,1,4.447121599,0,102887,560438,457551,0.012735575,Cancer,415494,0.37092181,Epithelial
COAD15#COAD15_C2_BC_62_158,COAD15_C2_BC_62_158,COAD15,P10,7.449,92264,115459,15194,0.103848527,1,4.433018305,0,102319,555901,453582,0.013666102,Cancer,391566,0.352282297,Epithelial
COAD15#COAD15_C2_D_31_319,COAD15_C2_D_31_319,COAD15,P10,7.339,62262,77876,18512,0.070193972,1,6.019461949,0,79026,554720,475694,0.016685896,Cancer,318995,0.287585488,Epithelial
COAD15#COAD15_C2_BC_87_183,COAD15_C2_BC_87_183,COAD15,P10,5.959,61307,86218,19160,0.078073526,1,5.244800326,0,88419,552159,463740,0.017350075,Cancer,310562,0.281279662,Epithelial
COAD15#COAD15_C2_D_5_293,COAD15_C2_D_5_293,COAD15,P10,7.221,79751,98982,18976,0.090184666,1,4.396591568,0,101689,548774,447085,0.017289449,Cancer,325233,0.296414406,Epithelial
COAD15#COAD15_C2_BC_56_152,COAD15_C2_BC_56_152,COAD15,P10,7.177,70711,90148,15591,0.083268521,1,4.912908124,0,91547,541309,449762,0.014401202,Cancer,353786,0.326849061,Epithelial
COAD15#COAD15_C2_BC_95_191,COAD15_C2_BC_95_191,COAD15,P10,7.707,85604,109906,16944,0.103374003,1,4.427252958,0,97949,531594,433645,0.015936974,Cancer,401047,0.377282006,Epithelial
COAD15#COAD15_C2_D_35_323,COAD15_C2_D_35_323,COAD15,P10,7.113,64046,82742,18066,0.07833844,1,5.598850431,0,80030,528106,448076,0.017104521,Cancer,290010,0.274644726,Epithelial
COAD15#COAD15_C2_D_96_384,COAD15_C2_D_96_384,COAD15,P10,8.246,99008,121776,16533,0.116155248,1,3.533107915,0,115637,524195,408558,0.015769895,Cancer,385031,0.367319584,Epithelial
COAD15#COAD15_C2_D_29_317,COAD15_C2_D_29_317,COAD15,P10,6.342,73952,95451,16972,0.091364451,1,5.132832404,0,85175,522364,437189,0.016245377,Cancer,310696,0.297546241,Epithelial
COAD15#COAD15_C1_A_77_77,COAD15_C1_A_77_77,COAD15,P10,7.11,75320,98481,15701,0.094711665,1,5.102315809,0,85197,519899,434702,0.015100048,Cancer,364553,0.35070371,Epithelial
COAD15#COAD15_C2_CB_8_200,COAD15_C2_CB_8_200,COAD15,P10,6.382,63181,86046,14689,0.082772672,1,6.319200169,0,71015,519773,448758,0.014130207,Cancer,342522,0.329547707,Epithelial
COAD15#COAD15_C2_D_84_372,COAD15_C2_D_84_372,COAD15,P10,7.308,63552,81334,15972,0.07840389,1,6.053018044,0,73541,518686,445145,0.015396598,Cancer,317708,0.306314923,Epithelial
COAD15#COAD15_C2_CB_2_194,COAD15_C2_CB_2_194,COAD15,P10,6.704,72168,95716,14445,0.092647335,1,4.398952737,0,95678,516561,420883,0.013981892,Cancer,330436,0.319883677,Epithelial
COAD15#COAD15_C1_A_9_9,COAD15_C1_A_9_9,COAD15,P10,5.622,55326,79410,17012,0.077280159,1,7.316822067,0,61776,513780,452004,0.016555724,Cancer,308874,0.300645922,Epithelial
COAD15#COAD15_C2_CB_14_206,COAD15_C2_CB_14_206,COAD15,P10,6.161,56259,78800,12300,0.076806113,1,7.953468077,0,57294,512980,455686,0.011988771,Cancer,316425,0.308467766,Epithelial
COAD15#COAD15_C2_BC_63_159,COAD15_C2_BC_63_159,COAD15,P10,6.283,72220,101056,14524,0.098763502,1,4.814167036,0,87993,511606,423613,0.014194517,Cancer,373315,0.364900397,Epithelial
COAD15#COAD15_C2_BC_75_171,COAD15_C2_BC_75_171,COAD15,P10,6.728,75290,101764,15687,0.100006289,1,3.560421634,0,111566,508788,397222,0.015416048,Cancer,387659,0.381019357,Epithelial
COAD15#COAD15_C2_D_30_318,COAD15_C2_D_30_318,COAD15,P10,6.938,49875,66577,21280,0.065878425,1,5.907562336,0,73152,505302,432150,0.021056715,Cancer,250797,0.248499867,Epithelial
COAD15#COAD15_C2_BC_84_180,COAD15_C2_BC_84_180,COAD15,P10,6.894,69009,93713,14770,0.092737403,1,4.73546439,0,88094,505260,417166,0.014616237,Cancer,315989,0.312770591,Epithelial
COAD15#COAD15_C2_BC_16_112,COAD15_C2_BC_16_112,COAD15,P10,8.2,90525,114014,13364,0.113095214,1,3.836054879,0,104230,504062,399832,0.013256306,Cancer,376397,0.373442324,Epithelial
COAD15#COAD15_C2_D_32_320,COAD15_C2_D_32_320,COAD15,P10,8.011,91654,118178,14196,0.117303619,1,3.574429249,0,110118,503727,393609,0.014090966,Cancer,411001,0.408011905,Epithelial
COAD15#COAD15_C2_BC_96_192,COAD15_C2_BC_96_192,COAD15,P10,7.975,81099,101786,15973,0.101873815,1,4.177471007,0,96489,499569,403080,0.015986781,Cancer,345236,0.345594035,Epithelial
COAD15#COAD15_C2_D_62_350,COAD15_C2_D_62_350,COAD15,P10,5.647,44155,61337,15244,0.061614512,1,6.061256916,0,70490,497748,427258,0.01531297,Cancer,248170,0.249350926,Epithelial
COAD15#COAD15_C2_CB_60_252,COAD15_C2_CB_60_252,COAD15,P10,6.192,60892,86691,13184,0.088029041,1,6.74957113,0,63539,492400,428861,0.01338749,Cancer,312826,0.317691122,Epithelial
COAD15#COAD15_C1_D_70_358,COAD15_C1_D_70_358,COAD15,P10,6.5,68388,92940,14052,0.094379859,1,4.658862876,0,87009,492372,405363,0.014269699,Cancer,360092,0.365733067,Epithelial
COAD15#COAD15_C1_BC_62_158,COAD15_C1_BC_62_158,COAD15,P10,6.183,35459,48334,16002,0.049181996,1,10.11440592,0,44211,491379,447168,0.016282747,Cancer,218874,0.222757555,Epithelial
COAD15#COAD15_C2_D_21_309,COAD15_C2_D_21_309,COAD15,P10,8.78,79386,94656,18119,0.096962942,1,5.105115697,0,79950,488104,408154,0.018560594,Cancer,305421,0.312931352,Epithelial
COAD15#COAD15_C1_A_90_90,COAD15_C1_A_90_90,COAD15,P10,5.744,56573,80337,19652,0.083353739,1,5.252646876,0,77072,481904,404832,0.020389953,Cancer,283461,0.294197441,Epithelial
COAD15#COAD15_C2_BC_7_103,COAD15_C2_BC_7_103,COAD15,P10,7.604,81630,104153,14992,0.108579572,1,3.978833397,0,96331,479616,383285,0.01562917,Cancer,355089,0.370217571,Epithelial
COAD15#COAD15_C2_D_71_359,COAD15_C2_D_71_359,COAD15,P10,7.908,49998,63076,14335,0.065851784,1,6.816742561,0,61269,478924,417655,0.01496584,Cancer,245879,0.257755335,Epithelial
COAD15#COAD15_C2_BC_80_176,COAD15_C2_BC_80_176,COAD15,P10,6.283,49492,66561,19458,0.069581534,1,3.263068764,0,112195,478295,366100,0.020341003,Cancer,249771,0.261135076,Epithelial
COAD15#COAD15_C1_BC_18_114,COAD15_C1_BC_18_114,COAD15,P10,6.963,59093,78285,14440,0.081934185,1,5.475250075,0,73778,477731,403953,0.015113108,Cancer,305239,0.319519609,Epithelial
COAD15#COAD15_C2_D_72_360,COAD15_C2_D_72_360,COAD15,P10,8.289,74057,92417,13515,0.096807612,1,4.520993338,0,86456,477323,390867,0.01415708,Cancer,325113,0.340670038,Epithelial
COAD15#COAD15_C1_A_41_41,COAD15_C1_A_41_41,COAD15,P10,5.107,48360,72335,14659,0.076241621,1,5.163420687,0,76967,474380,397413,0.015450694,Cancer,288134,0.303757461,Epithelial
COAD15#COAD15_C2_CB_72_264,COAD15_C2_CB_72_264,COAD15,P10,6.483,47500,64089,15465,0.067945304,1,6.352894405,0,64141,471622,407481,0.016395546,Cancer,279758,0.296641657,Epithelial
COAD15#COAD15_C1_BC_78_174,COAD15_C1_BC_78_174,COAD15,P10,5.322,47614,70723,16381,0.075494719,1,6.253310002,0,64577,468397,403820,0.017486235,Cancer,251955,0.269007378,Epithelial
COAD15#COAD15_C1_BC_72_168,COAD15_C1_BC_72_168,COAD15,P10,5.987,51637,73021,15551,0.077962247,1,6.639516484,0,61301,468310,407009,0.016603318,Cancer,280918,0.299982487,Epithelial
COAD15#COAD15_C2_CB_17_209,COAD15_C2_CB_17_209,COAD15,P10,6.444,60817,82372,13740,0.088125163,1,5.618395525,0,70615,467358,396743,0.014699652,Cancer,306013,0.327448429,Epithelial
COAD15#COAD15_C2_CB_18_210,COAD15_C2_CB_18_210,COAD15,P10,6.455,64710,92000,13974,0.098453847,1,4.928636687,0,78808,467224,388416,0.014954283,Cancer,320916,0.343466646,Epithelial
COAD15#COAD15_C2_D_13_301,COAD15_C2_D_13_301,COAD15,P10,7.594,60440,79864,14452,0.085541198,1,5.165029054,0,75720,466816,391096,0.015479332,Cancer,300894,0.322447694,Epithelial
COAD15#COAD15_C2_D_77_365,COAD15_C2_D_77_365,COAD15,P10,7.037,61210,82841,17762,0.089026183,1,5.786399837,0,68558,465262,396704,0.01908817,Cancer,265459,0.285419529,Epithelial
COAD15#COAD15_C2_D_4_292,COAD15_C2_D_4_292,COAD15,P10,7.389,63517,82990,14163,0.089620288,1,4.690797802,0,81361,463009,381648,0.015294519,Cancer,302426,0.326653921,Epithelial
COAD15#COAD15_C2_BC_54_150,COAD15_C2_BC_54_150,COAD15,P10,7.845,69073,84628,15239,0.091649646,1,4.615883326,0,82212,461693,379481,0.016503391,Cancer,273874,0.296655351,Epithelial
COAD15#COAD15_C1_BC_74_170,COAD15_C1_BC_74_170,COAD15,P10,5.899,51267,74563,13851,0.081471453,1,5.457194463,0,70867,457602,386735,0.015134331,Cancer,297238,0.324818324,Epithelial
COAD15#COAD15_C2_D_60_348,COAD15_C2_D_60_348,COAD15,P10,6.301,60169,84389,13798,0.092372173,1,6.717447499,0,59189,456788,397599,0.015103286,Cancer,305599,0.334559838,Epithelial
COAD15#COAD15_C2_CB_45_237,COAD15_C2_CB_45_237,COAD15,P10,7.155,63847,81739,14231,0.089478731,1,5.95535184,0,65669,456751,391082,0.01557851,Cancer,286299,0.313472694,Epithelial
COAD15#COAD15_C1_BC_23_119,COAD15_C1_BC_23_119,COAD15,P10,5.536,46566,67256,14190,0.074193541,1,5.724433631,0,67403,453247,385844,0.015653716,Cancer,281800,0.310901637,Epithelial
COAD15#COAD15_C2_BC_76_172,COAD15_C2_BC_76_172,COAD15,P10,6.583,59581,81324,16632,0.089933117,1,5.002708372,0,75322,452136,376814,0.018392696,Cancer,291184,0.322099069,Epithelial
COAD15#COAD15_C2_D_49_337,COAD15_C2_D_49_337,COAD15,P10,6.011,26855,38631,18950,0.042745323,1,7.11730258,0,55668,451874,396206,0.020968235,Cancer,164727,0.182339945,Fibroblast
COAD15#COAD15_C2_D_52_340,COAD15_C2_D_52_340,COAD15,P10,5.107,42608,63095,15143,0.070150452,1,5.261915702,0,71817,449712,377895,0.016836331,Cancer,264792,0.294632366,Epithelial
COAD15#COAD15_C2_BC_23_119,COAD15_C2_BC_23_119,COAD15,P10,7.048,58078,80016,14292,0.08978053,1,4.673580077,0,78543,445620,367077,0.016036085,Cancer,287692,0.322843164,Epithelial
COAD15#COAD15_C1_BC_80_176,COAD15_C1_BC_80_176,COAD15,P10,7.429,64741,82051,12297,0.092324917,1,5.541054553,0,67934,444360,376426,0.013836754,Cancer,299184,0.336683847,Epithelial
COAD15#COAD15_C2_BC_83_179,COAD15_C2_BC_83_179,COAD15,P10,7.182,49735,65784,17847,0.074081748,1,5.986012115,0,63555,443996,380441,0.020098154,Cancer,235582,0.265363777,Epithelial
COAD15#COAD15_C1_D_90_378,COAD15_C1_D_90_378,COAD15,P10,5.915,42737,58592,15429,0.066063669,1,5.454327133,0,68706,443451,374745,0.017396511,Cancer,223108,0.251643917,Epithelial
COAD15#COAD15_C2_BC_27_123,COAD15_C2_BC_27_123,COAD15,P10,6.423,62352,87031,12193,0.098448907,1,4.049419103,0,87537,442011,354474,0.013792643,Cancer,323037,0.365471948,Epithelial
COAD15#COAD15_C2_BC_78_174,COAD15_C2_BC_78_174,COAD15,P10,6.964,72418,99376,12949,0.112481437,1,3.951898394,0,89207,441744,352537,0.014656679,Cancer,347711,0.393666885,Epithelial
COAD15#COAD15_C2_D_2_290,COAD15_C2_D_2_290,COAD15,P10,7.4,70486,94281,14790,0.106990874,1,3.70046727,0,93736,440603,346867,0.016783817,Cancer,335806,0.381158529,Epithelial
COAD15#COAD15_C1_BC_22_118,COAD15_C1_BC_22_118,COAD15,P10,6.866,67257,89309,13764,0.101616599,1,4.917759703,0,74258,439441,365183,0.015660805,Cancer,319141,0.363248029,Epithelial
COAD15#COAD15_C2_BC_32_128,COAD15_C2_BC_32_128,COAD15,P10,7.619,55418,67894,15009,0.077364145,1,5.272891024,0,69951,438795,368844,0.017102519,Cancer,247432,0.282018784,Epithelial
COAD15#COAD15_C2_D_70_358,COAD15_C2_D_70_358,COAD15,P10,5.009,27514,40309,15450,0.045941104,1,6.987455393,0,54924,438703,383779,0.017608724,Cancer,187487,0.213816832,Epithelial
COAD15#COAD15_C1_D_29_317,COAD15_C1_D_29_317,COAD15,P10,5.578,47340,69620,12157,0.079434443,1,5.809780582,0,64352,438223,373871,0.013870792,Cancer,276756,0.315790915,Epithelial
COAD15#COAD15_C1_A_33_33,COAD15_C1_A_33_33,COAD15,P10,6.795,65254,88958,13349,0.101812663,1,5.062853019,0,72057,436871,364814,0.015277965,Cancer,314422,0.359926829,Epithelial
COAD15#COAD15_C2_BC_91_187,COAD15_C2_BC_91_187,COAD15,P10,8.971,83960,103133,13257,0.118206992,1,3.787732122,0,91116,436239,345123,0.015194652,Cancer,325229,0.372828798,Epithelial
COAD15#COAD15_C2_CB_42_234,COAD15_C2_CB_42_234,COAD15,P10,6.247,60617,85951,14892,0.098747036,1,4.701140993,0,76337,435208,358871,0.01710906,Cancer,278402,0.319878759,Epithelial
COAD15#COAD15_C2_D_38_326,COAD15_C2_D_38_326,COAD15,P10,6.134,33203,46821,12283,0.0542466,1,6.762654243,0,55594,431557,375963,0.014231029,Cancer,202567,0.234838508,Epithelial
COAD15#COAD15_C2_D_66_354,COAD15_C2_D_66_354,COAD15,P10,9.311,94318,111299,13809,0.129085123,1,3.530957361,0,95147,431107,335960,0.016015746,Cancer,347172,0.402742396,Epithelial
COAD15#COAD15_C2_D_61_349,COAD15_C2_D_61_349,COAD15,P10,6.929,56777,74419,13820,0.086455509,1,5.513052163,0,66081,430389,364308,0.016055243,Cancer,276603,0.321413133,Epithelial
COAD15#COAD15_C2_D_51_339,COAD15_C2_D_51_339,COAD15,P10,8.252,67918,81755,12291,0.095053564,1,5.51102969,0,66049,430047,363998,0.014290299,Cancer,281381,0.32721156,Epithelial
COAD15#COAD15_C2_D_53_341,COAD15_C2_D_53_341,COAD15,P10,6.83,70842,91493,13264,0.107013612,1,4.640287105,0,75791,427483,351692,0.015514067,Cancer,292941,0.342709235,Epithelial
COAD15#COAD15_C2_BC_85_181,COAD15_C2_BC_85_181,COAD15,P10,7.221,58319,74562,16274,0.08750443,1,5.077443191,0,70103,426047,355944,0.019098832,Cancer,248271,0.291486839,Epithelial
COAD15#COAD15_C1_A_79_79,COAD15_C1_A_79_79,COAD15,P10,6.385,60403,84257,12787,0.098981021,1,5.735058153,0,63195,425622,362427,0.015021545,Cancer,279992,0.328955747,Epithelial
COAD15#COAD15_C2_CB_73_265,COAD15_C2_CB_73_265,COAD15,P10,7.161,65020,84584,12405,0.099381509,1,5.566856473,0,64803,425552,360749,0.014575187,Cancer,292049,0.343202672,Epithelial
COAD15#COAD15_C2_D_26_314,COAD15_C2_D_26_314,COAD15,P10,7.067,61529,80218,12855,0.094290698,1,4.384778976,0,78996,425376,346380,0.015110161,Cancer,288483,0.339166718,Epithelial
COAD15#COAD15_C2_D_45_333,COAD15_C2_D_45_333,COAD15,P10,6.765,69950,97654,12759,0.114884626,1,3.685876516,0,90700,425009,334309,0.01501027,Cancer,323009,0.380074977,Epithelial
COAD15#COAD15_C2_D_1_289,COAD15_C2_D_1_289,COAD15,P10,7.725,75590,95874,13317,0.113482111,1,4.185663954,0,81459,422419,340960,0.015762785,Cancer,315935,0.374070847,Epithelial
COAD15#COAD15_C1_D_9_297,COAD15_C1_D_9_297,COAD15,P10,7.001,67668,91096,13015,0.107881498,1,4.67883035,0,74347,422204,347857,0.015413165,Cancer,339608,0.402212353,Epithelial
COAD15#COAD15_C2_D_46_334,COAD15_C2_D_46_334,COAD15,P10,8.751,78559,98066,13354,0.116433639,1,4.197842481,0,81019,421124,340105,0.015855188,Cancer,315977,0.375265139,Epithelial
COAD15#COAD15_C1_A_88_88,COAD15_C1_A_88_88,COAD15,P10,5.982,40110,57029,16367,0.067726704,1,6.319593185,0,57520,421023,363503,0.01943718,Cancer,228301,0.271150347,Epithelial
COAD15#COAD15_C2_BC_6_102,COAD15_C2_BC_6_102,COAD15,P10,7.95,87701,114406,14282,0.13604829,1,2.874288189,0,108526,420461,311935,0.016983739,Cancer,384809,0.457673342,Epithelial
COAD15#COAD15_C2_CB_63_255,COAD15_C2_CB_63_255,COAD15,P10,6.145,54180,74473,11770,0.088683038,1,5.601414983,0,63605,419883,356278,0.014015809,Cancer,265311,0.31601497,Epithelial
COAD15#COAD15_C1_BC_58_154,COAD15_C1_BC_58_154,COAD15,P10,6.686,44645,58097,14460,0.069370049,1,7.19882915,0,51074,418747,367673,0.017265795,Cancer,218723,0.261209199,Epithelial
COAD15#COAD15_C1_D_46_334,COAD15_C1_D_46_334,COAD15,P10,6.421,57678,79078,11337,0.094501156,1,4.292145206,0,79060,418397,339337,0.013548137,Cancer,276629,0.330652294,Epithelial
COAD15#COAD15_C2_BC_51_147,COAD15_C2_BC_51_147,COAD15,P10,7.461,66510,83165,12532,0.09940428,1,4.917793685,0,70688,418317,347629,0.014979071,Cancer,277888,0.332249302,Epithelial
COAD15#COAD15_C2_BC_70_166,COAD15_C2_BC_70_166,COAD15,P10,9.003,86262,104426,11141,0.124891465,1,3.947831233,0,84495,418067,333572,0.013324419,Cancer,341239,0.408174763,Epithelial
COAD15#COAD15_C2_CB_23_215,COAD15_C2_CB_23_215,COAD15,P10,7.758,66735,85293,11886,0.102183529,1,5.26833481,0,66581,417352,350771,0.014239778,Cancer,287185,0.34409897,Epithelial
COAD15#COAD15_C1_BC_6_102,COAD15_C1_BC_6_102,COAD15,P10,6.345,51072,70374,13236,0.084407812,1,4.839155648,0,71392,416869,345477,0.015875491,Cancer,250483,0.300551228,Epithelial
COAD15#COAD15_C2_D_68_356,COAD15_C2_D_68_356,COAD15,P10,5.963,38184,53130,12268,0.064518714,1,6.227457038,0,56969,411741,354772,0.014897715,Cancer,208093,0.252743102,Epithelial
COAD15#COAD15_C1_A_18_18,COAD15_C1_A_18_18,COAD15,P10,6.219,54307,77481,12726,0.094322235,1,4.663922445,0,72516,410725,338209,0.015492118,Cancer,300286,0.365620122,Epithelial
COAD15#COAD15_C1_BC_54_150,COAD15_C1_BC_54_150,COAD15,P10,6.249,55790,77460,14165,0.094335487,1,4.533174302,0,74199,410556,336357,0.017250996,Cancer,291598,0.355189753,Epithelial
COAD15#COAD15_C2_D_88_376,COAD15_C2_D_88_376,COAD15,P10,7.602,78017,101979,13135,0.124292484,1,3.891122398,0,83874,410238,326364,0.016009,Cancer,325635,0.397022892,Epithelial
COAD15#COAD15_C1_BC_10_106,COAD15_C1_BC_10_106,COAD15,P10,5.583,42476,60798,13924,0.074132511,1,6.922851015,0,51757,410063,358306,0.016977879,Cancer,244523,0.298193689,Epithelial
COAD15#COAD15_C2_CB_7_199,COAD15_C2_CB_7_199,COAD15,P10,6.477,57576,77927,11764,0.095096247,1,5.300293697,0,65033,409727,344694,0.0143559,Cancer,260752,0.31822076,Epithelial
COAD15#COAD15_C1_D_43_331,COAD15_C1_D_43_331,COAD15,P10,7.732,61364,76933,14287,0.094194062,1,5.578523447,0,62077,408375,346298,0.017492501,Cancer,273838,0.335346603,Epithelial
COAD15#COAD15_C2_BC_89_185,COAD15_C2_BC_89_185,COAD15,P10,8.246,82065,102729,12280,0.126647369,1,3.242773901,0,95591,405571,309980,0.015139149,Cancer,336737,0.41527353,Epithelial
COAD15#COAD15_C2_BC_41_137,COAD15_C2_BC_41_137,COAD15,P10,8.111,70369,87156,12072,0.107497811,1,4.012116566,0,80881,405385,324504,0.014889549,Cancer,298668,0.368510279,Epithelial
COAD15#COAD15_C1_A_48_48,COAD15_C1_A_48_48,COAD15,P10,6.891,62942,84545,9369,0.104300829,1,3.792408656,0,84570,405294,320724,0.011558276,Cancer,294059,0.362811845,Epithelial
COAD15#COAD15_C2_D_94_382,COAD15_C2_D_94_382,COAD15,P10,8.705,73635,89393,11991,0.1103029,1,4.050679297,0,80230,405216,324986,0.014795813,Cancer,292824,0.361756748,Epithelial
COAD15#COAD15_C1_BC_40_136,COAD15_C1_BC_40_136,COAD15,P10,6.472,55869,77571,12825,0.095879117,1,5.30995648,0,64109,404525,340416,0.015851925,Cancer,284830,0.352121034,Epithelial
COAD15#COAD15_C2_CB_92_284,COAD15_C2_CB_92_284,COAD15,P10,6.891,52679,70249,12246,0.08709727,1,6.106488334,0,56748,403279,346531,0.015183037,Cancer,257319,0.319112603,Epithelial
COAD15#COAD15_C2_D_55_343,COAD15_C2_D_55_343,COAD15,P10,6.129,26508,35050,14086,0.044381695,1,7.050685043,0,49048,394870,345822,0.01783625,Cancer,151501,0.191900218,T
COAD15#COAD15_C1_D_42_330,COAD15_C1_D_42_330,COAD15,P10,8.095,67208,85746,11751,0.108771654,1,4.097196358,0,77328,394156,316828,0.014906534,Cancer,285542,0.362248018,Epithelial
COAD15#COAD15_C1_BC_29_125,COAD15_C1_BC_29_125,COAD15,P10,5.137,24205,35935,14201,0.045631167,1,8.652277296,0,40794,393755,352961,0.018032787,Cancer,165493,0.210196819,Epithelial
COAD15#COAD15_C2_D_16_304,COAD15_C2_D_16_304,COAD15,P10,7.775,70212,88444,11716,0.112402618,1,4.018816176,0,78390,393425,315035,0.01488975,Cancer,281414,0.357708138,Epithelial
